,strain,id,flavors,positive,medical,Type,Rating,Flavor
0,Afpak,1,"Earthy, Chemical, Pine","Relaxed, Hungry, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.2,"Pine,Spicy/Herbal,Earthy"
1,African,2,"Spicy/Herbal, Pungent, Earthy","Euphoric, Happy, Creative, Energetic, Talkative","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",sativa,3.9,"Spicy/Herbal,Pungent,Pepper"
2,Afternoon Delight,3,"Pepper, Flowery, Pine","Relaxed, Hungry, Euphoric, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Cramps, Headache",hybrid,4.8,"Pungent,Citrus,Tropical"
3,Afwreck,4,"Pine, Earthy, Flowery","Relaxed, Happy, Creative, Uplifted, Sleepy","Pain, Stress, Headache, Fatigue, Headaches, Muscle Spasms",hybrid,4.2,"Earthy,Pine,Pungent"
4,Agent Orange,5,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Headaches",hybrid,4.2,"Citrus,Orange,Earthy"
5,Agent Tangie,6,"Skunk, Pepper, Citrus","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Stress, Cramps, Fatigue, Eye Pressure",hybrid,4.5,"Skunk,Citrus,Orange"
6,Alaska,8,"Earthy, Woody, Pungent","Relaxed, Euphoric, Happy, Energetic, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",sativa,4.6,"Earthy,Woody,Pine"
7,Alaska Thunder Grape,9,"Grape, Pepper, Skunk","Relaxed, Euphoric, Creative, Tingly, Focused","Pain, Stress, Eye Pressure",hybrid,5.0,"Pepper,Strawberry,Grape"
8,Alaskan Ice,10,"Earthy, Pine, Minty","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.4,"Sweet,Earthy,Spicy/Herbal"
9,Alaskan Thunder Fuck,11,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.4,"Earthy,Woody,Pine"
10,Albert Walker,12,"Earthy, Pine, Skunk","Relaxed, Hungry, Euphoric, Happy, Focused","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",hybrid,4.7,"Earthy,Mango,Blueberry"
11,Alchemy,13,"Cheese, Chemical, Sweet","Relaxed, Hungry, Uplifted, Tingly, Sleepy","Insomnia, Stress, Fatigue, Headaches, Eye Pressure",hybrid,4.8,"Cheese,Sweet,Spicy/Herbal"
12,Alf,14,"Diesel, Pungent, Tropical","Relaxed, Euphoric, Happy, Creative, Giggly","Depression, Insomnia, Stress, Muscle Spasms",hybrid,5.0,"Diesel,Tropical,Pungent"
13,Alien Abduction,16,"Earthy, Nutty, Lemon","Relaxed, Happy, Creative, Focused","Depression, Insomnia, Lack of Appetite, Fatigue, Headaches",hybrid,3.8,"Earthy,Nutty,Sweet"
14,Alien Apparition,17,"Berry, Blueberry, Citrus","Hungry, Euphoric, Creative, Aroused","Depression, Cramps, Fatigue, Headaches, Eye Pressure",hybrid,4.0,"Sweet,Pungent,Skunk"
15,Alien Asshat,18,"Citrus, Pungent, Lemon","Euphoric, Happy, Creative, Energetic, Giggly","Depression, Pain, Stress, Nausea, Fatigue",hybrid,4.8,"Pungent,Citrus,Earthy"
16,Alien Bubba,19,"Earthy, Ammonia, Diesel","Relaxed, Euphoric, Sleepy, Focused, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,5.0,"Earthy,Woody,Sweet"
17,Alien Dawg,20,"Earthy, Pungent, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Nausea, Fatigue",indica,4.3,"Earthy,Pungent,Woody"
18,Alien Dutchess,21,"Berry, Lemon, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",sativa,4.2,"Sweet,Berry,Blueberry"
19,Alien Hallucination,22,"Chemical, Diesel, Earthy","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms",hybrid,4.1,"Sweet,Earthy,Diesel"
20,Alien Inferno,23,"Pine, Diesel, Earthy","Euphoric, Happy, Creative, Energetic, Talkative","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.8,"Pine,Diesel,Earthy"
21,Alien Kush,24,"Woody, Flowery, Earthy","Relaxed, Euphoric, Uplifted, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.2,"Earthy,Woody,Flowery"
22,Alien Reunion,26,"Skunk, Diesel, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Lack of Appetite, Headaches, Inflammation, Muscle Spasms",hybrid,4.9,"Pungent,Skunk,Cheese"
23,Alien Rift,27,"Earthy, Chemical, Citrus","Relaxed, Hungry, Euphoric, Happy, Creative","Depression, Insomnia, Pain, Stress, Headaches",indica,4.6,"Grape,Earthy,Chemical"
24,Alien Rock Candy,28,"Sweet, Earthy, Citrus","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.7,"Sweet,Citrus,Earthy"
25,Alien Sour Apple,29,"Apple, Orange, Ammonia","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.6,"Sweet,Lemon,Apple"
26,Alien Stardawg,30,"Earthy, Pungent, Rose","Euphoric, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite",sativa,4.4,"Diesel,Spicy/Herbal,Sage"
27,Alien Technology,31,"Spicy/Herbal, Chemical, Woody","Relaxed, Happy, Uplifted, Giggly","Depression, Pain, Stress, Headaches",indica,4.5,"Earthy,Spicy/Herbal,Woody"
